en,es,de,zh,ja,he,id
0.44240084330240886,0.4065528462727865,0.40744009653727215,0.48498617045084635,0.3862103805541992,0.36605368804931643,0.3041662254333496
0.4636073608398438,0.45020879618326826,0.42036053466796874,0.598120620727539,0.42727350107828777,0.3415397008260091,0.34966124216715494
0.42950146484375,0.41411297098795574,0.38743484497070313,0.549082155863444,0.37694434611002603,0.35542852274576825,0.32587313334147133
0.41044802602132163,0.42022703297932945,0.40215079243977864,0.5574253336588542,0.43252588653564455,0.36452230326334634,0.34849149322509765
0.4190945841471354,0.37064266967773435,0.35292493184407553,0.5336961085001628,0.43563540395100914,0.3640308380126953,0.3332916564941406
0.40130457051595053,0.33702723439534504,0.396945920308431,0.5855581817626954,0.35200098164876303,0.3404979476928711,0.35299354553222656
0.41068975067138674,0.40407313283284507,0.37208265177408856,0.5902842763264974,0.3348516260782878,0.31958666737874347,0.32423663584391277
0.3565302047729492,0.3237338104248047,0.34905273183186847,0.40379336547851563,0.4282722905476888,0.34784413146972654,0.2792478192647298
0.44576316833496094,0.3946162541707357,0.3759800567626953,0.5652975107828776,0.4272212092081706,0.36406880696614585,0.29200027720133465
0.41949811299641926,0.3664263712565104,0.32820115152994794,0.574840565999349,0.3850967585245768,0.3848730532328288,0.31958935292561846
0.4233362528483073,0.35826541646321614,0.37209753672281903,0.47099859110514325,0.43251842498779297,0.3483754145304362,0.29851448822021487
0.4167894287109375,0.39859942626953127,0.394870600382487,0.5829425557454427,0.3496871871948242,0.4385688451131185,0.30118921915690106
0.4669588801066081,0.41948675537109376,0.420294423421224,0.6366572011311848,0.4178640314737956,0.36765401713053386,0.3250114440917969
0.43518755849202473,0.3761622619628906,0.3549031753540039,0.6426102752685547,0.3426159489949544,0.38649686431884767,0.32429527282714843
0.3487007573445638,0.34227945454915365,0.30773064676920575,0.6436759541829427,0.37555118815104166,0.3692058308919271,0.2832611592610677
0.4257741190592448,0.3919390920003255,0.35119814809163413,0.2401182746887207,0.3306181131998698,0.41302477264404297,0.27708094914754233
